f0,f1,f2,f3,f4,f5,id
1.0866301,0.30545375,2.561944,1.7103541,-3.593636,-3.499824,2727
-1.1552595,2.3384595,3.2445858,2.973708,-4.448743,-4.720104,802
-0.24938336,2.2066708,4.2663875,2.1644552,-4.9910917,-5.0038834,926
-1.257704,2.0363963,3.9755836,3.355769,-4.753518,-4.7617354,490
1.1448807,1.670242,1.5712532,2.072367,-3.5047045,-3.7024899,2603
2.8891687,2.3983083,2.501241,0.46387184,-4.319684,-4.7509108,279
1.9832104,1.8036742,3.871843,0.70400804,-4.7496357,-4.790867,1432
-1.243687,2.3520966,5.092361,3.594644,-6.0876055,-5.994152,165
-1.0126148,1.8267409,3.99112,3.8594697,-4.659248,-4.7034864,847
1.4417006,1.2731372,2.7259283,1.7511579,-4.4194875,-4.5601325,2297
-2.5217514,2.4416082,3.9776468,3.949077,-4.697815,-5.0919533,92
0.5040191,1.249222,3.6352305,1.6691389,-4.0463934,-4.2554564,2646
0.6953563,2.1676702,1.2292573,3.3155255,-4.2322326,-4.414309,1477
-1.5977461,4.129422,4.6183224,2.7435818,-5.4859867,-5.928751,120
3.3631768,0.36580816,2.629607,0.92890334,-4.053799,-4.309166,861
-1.8260067,3.1228716,2.17362,5.0807548,-4.8246827,-5.3243723,1080
1.9633213,1.7206156,2.3490515,1.7120416,-4.440159,-4.6383166,2744
-2.5143456,5.2011867,5.9294353,2.2646425,-5.9179864,-6.395921,1575
1.1518279,1.1195116,3.5929792,0.991362,-4.078739,-4.3635483,3727
-0.8242702,2.8892162,0.29978976,5.626056,-4.6169233,-4.7986917,1451
3.3080812,-0.8021302,0.21552259,5.540076,-4.494655,-4.8623047,2395
-0.5815631,3.5311587,0.92932546,4.248038,-4.540753,-4.759575,2701
5.366666,-1.4272872,0.55902904,1.9334102,-3.7896018,-3.995141,1530
0.33044675,5.137701,2.4317312,1.7140238,-5.6635475,-5.5468864,1886
-2.1828146,6.3100653,3.6053112,1.936562,-5.6377487,-5.4044013,3762
3.7419717,0.8809897,1.716027,0.36691082,-3.9001715,-4.319711,2539
-0.7626811,3.4552438,2.2914011,3.9617803,-4.891062,-4.981316,1414
-0.24873817,0.7557918,2.6123493,4.2299576,-4.1457386,-4.3122997,2214
-0.7161202,0.7984613,2.5274427,4.2156215,-4.185065,-4.2266793,572
1.2199869,1.659187,3.411494,1.0099896,-4.311803,-4.371834,1339
0.13232878,1.7336793,2.757695,4.129007,-4.9246173,-4.860184,3277
0.17591411,2.1603866,3.9736063,1.666554,-4.600939,-4.773794,1942
0.22338983,2.9970691,2.3989909,2.6156394,-4.6754613,-4.6037292,1101
0.040740672,2.1128957,1.1786522,4.3490434,-4.559636,-4.839351,1595
2.9917583,2.059063,1.8566606,-0.42055526,-3.6055737,-3.8311768,1689
2.1553168,1.5236061,0.53215635,2.1117554,-3.3748164,-3.5690203,3849
0.78164303,1.9952129,3.2730339,2.3662238,-5.156046,-4.9932165,537
0.09150064,1.2373502,3.4320052,4.0056953,-4.9357824,-5.260808,2069
-1.892512,3.2931082,3.0893514,4.004391,-5.2346497,-5.3662314,1907
-0.69223243,2.182739,4.1062856,3.8641014,-5.415764,-5.628382,3232
-0.5865315,2.4028718,3.582617,2.9184124,-4.593887,-4.222367,1258
-0.63813317,1.6013306,3.2112312,3.1187222,-4.187626,-4.5443683,1144
3.1061833,0.74138826,1.437383,2.7535932,-4.5794225,-4.1847434,2680
1.8338177,2.6366634,2.850836,2.7899888,-5.1417513,-5.515879,2277
-0.845752,2.9665854,2.7554352,4.0314975,-4.807073,-4.690382,2928
1.0869044,2.7572443,2.5304534,2.0116477,-4.422242,-4.8079104,511
-3.6162782,3.2425241,3.9386,5.0028977,-4.701289,-5.3563156,1921
2.7911487,0.8154254,0.8785225,3.944582,-4.719302,-4.5659723,983
2.595686,-0.17395753,1.333879,3.9753735,-4.4235754,-4.840618,729
-0.64284736,3.1380763,4.350265,1.2358824,-4.6177235,-4.754753,2232
1.1335535,1.9368857,2.0970852,1.9181302,-3.9978237,-4.5898666,554
3.860557,-0.28389996,1.5487477,2.358938,-3.7469366,-4.0733404,648
1.8732663,0.3360902,1.7237016,3.5569527,-4.2608404,-4.5555277,1964
1.0246469,2.87595,2.469501,2.9985878,-5.6130257,-6.096652,185
-0.5703272,1.1446003,0.80547947,5.986138,-4.459363,-4.5172067,37
-0.4192832,4.0610995,3.868714,1.4692276,-5.1665316,-5.5536213,2849
-4.940515,3.7986298,6.4894304,3.6986928,-5.223906,-5.7190347,1127
-1.8616323,1.8739494,5.2784576,3.501654,-5.144557,-5.69013,1999
-4.2796326,5.2907953,5.8760066,1.9662545,-4.9604297,-5.3268423,1733
-2.530198,3.6717448,2.772035,5.3348002,-5.469863,-5.7806807,178
-0.19072098,2.47223,2.5319684,2.0651596,-4.397213,-4.3427734,2502
2.0618403,0.9775026,2.8615406,1.8848201,-4.649779,-4.3860693,791
0.34799567,2.093805,3.7404652,0.7164559,-4.057451,-4.1232834,340
-0.49461883,2.5336802,1.7076956,4.308328,-4.383462,-4.6304116,2426
3.6166883,1.034528,1.6983258,0.3654831,-3.4130132,-3.3525689,2547
5.0896754,0.5528127,1.6941825,1.8351402,-5.151699,-5.0577583,305
0.40713024,0.5209824,2.5188065,4.3551073,-4.3358765,-4.6060095,2196
1.0930293,1.3287572,1.9052627,4.3538175,-4.8926477,-5.3953333,1750
2.7868624,2.581536,2.10803,1.6611176,-5.0938087,-4.9164686,3426
-1.6581991,1.9256455,3.2454221,4.957669,-4.9855847,-5.0073614,958
4.420027,-0.7904793,0.20080733,1.9517841,-3.277209,-3.6312618,1568
5.105814,0.91842717,2.5355806,0.50396687,-4.724972,-4.76083,323
0.8621684,1.6956322,2.0567596,3.3326304,-4.623517,-4.7861648,2445
-0.20755291,3.1341746,3.156223,3.8531506,-5.2607656,-5.6394978,1381
0.30836958,2.216892,2.631254,4.1656256,-5.0523205,-5.4849377,1715
1.128317,2.6371927,2.2421029,1.579665,-4.194335,-4.3770046,2638
1.1562814,1.8789319,3.0361524,2.9656055,-4.711296,-5.283946,2892
1.1261536,3.1335452,3.3041184,0.6276507,-4.764483,-4.666773,3463
0.6661228,2.7848966,3.494139,1.1502914,-4.5249443,-5.139672,366
5.8172836,1.8218237,-0.24285516,2.706249,-5.202674,-5.7885537,1631
-1.4517831,3.2569795,4.3733535,2.1300442,-4.291794,-4.8085756,2400
4.693128,-1.228429,1.1166308,1.6779602,-3.4522796,-3.6738195,1200
0.27582818,2.6050045,1.9976679,2.582927,-3.7347565,-4.3688025,3935
2.677516,-0.34439915,2.24458,1.4477073,-3.5434012,-3.642634,3176
-0.93035966,3.7503133,3.5005596,1.0000265,-4.406399,-4.4055867,1038
5.486569,-0.1355291,-0.33547118,1.4359553,-3.5767298,-3.5508862,673
3.9864292,1.095858,2.5819726,-0.0511097,-4.365836,-4.1273646,2115
-0.14546824,3.274059,3.6103804,1.5148039,-4.312678,-4.887722,49
2.9170885,1.231713,1.0745538,1.2810292,-3.1692204,-3.4437506,2581
-2.3656473,4.840439,3.7666419,2.3657568,-4.8950496,-5.4492173,3970
1.8395342,0.8075528,1.4077357,3.131572,-4.3202434,-4.077071,1245
3.580774,-1.0005493,0.9013689,2.782335,-3.731821,-4.140448,1159
1.436374,2.4751735,1.9084294,2.3395166,-4.4031076,-4.6838436,3133
1.709927,2.9509027,2.1786706,2.0055811,-4.5032377,-5.0665693,2368
4.8845696,-0.31682527,1.4829081,0.6208183,-3.7851152,-3.8942142,636
0.9904434,2.7513416,2.2167614,2.6185746,-4.7917852,-4.8700743,2913
0.5691542,3.5644052,3.073434,1.9168715,-4.7608776,-5.2036905,2150
-0.9558448,4.181865,4.0924835,2.182102,-5.0337124,-5.431732,1588
0.5849358,0.5085723,2.3123405,4.428136,-4.4373264,-4.695382,1694
-2.805729,4.9311576,3.7358704,2.0296736,-4.660244,-5.0356736,1263
-3.0517287,4.3425493,3.8300877,3.7583392,-5.2950325,-5.428504,428
-3.4780452,3.4479392,4.13609,4.187709,-4.927153,-5.487341,610
3.1436083,0.27892008,1.608049,1.101833,-3.5923848,-3.424287,2935
5.352572,-0.63310224,-0.19960713,1.7331235,-3.8756363,-4.1866417,2176
-0.80574095,0.9108974,2.2413404,4.1377816,-3.7761416,-3.939271,1818
-0.6597592,1.1026019,2.6987286,5.968855,-5.3762784,-5.7313185,1226
0.9388214,2.526545,3.2561839,0.6192028,-4.6257653,-4.5094867,284
-1.1252011,4.0401983,2.2146218,4.0104766,-5.3668885,-5.2884407,2970
0.41730082,1.8274022,2.7951252,2.794183,-4.475087,-4.755383,549
0.8421843,2.10125,3.8329961,0.7721912,-4.4335203,-4.6333427,655
0.15443504,2.8175876,2.8158796,1.8802049,-4.5981407,-4.562208,2133
1.917404,2.4232957,2.8542807,1.1626537,-4.47545,-4.4285536,1769
0.1962074,2.8684945,1.4179758,3.1929634,-4.4807706,-4.2888956,1475
1.8990874,2.4826179,1.9877888,1.6774387,-4.785268,-4.9012365,3703
1.632924,1.8092902,0.9356267,3.9468484,-4.6716256,-4.7507424,2558
2.2700636,-0.9263407,0.115448706,6.3836503,-4.7671328,-4.7353396,90
0.15570492,2.3474019,1.6633552,4.2827134,-4.9339495,-5.452551,2189
0.13806564,0.9596045,3.0657568,4.809938,-4.7907305,-5.0432878,2760
5.654996,-0.6492976,0.85443664,1.1718185,-3.8473222,-4.125634,1430
0.88603383,2.2352836,1.4806775,2.530856,-4.2125497,-4.2126245,3746
2.9030485,1.1699312,1.6878275,1.8457742,-4.090326,-4.441077,1608
-1.9344105,3.4175293,5.9242086,1.706809,-5.1750517,-6.1802006,3397
-1.7509702,2.3404686,4.7426558,3.2284467,-5.057257,-5.312601,800
0.45546848,1.673875,3.6415355,3.521106,-5.044531,-5.7576475,2725
-0.41760406,1.9059707,3.4719698,2.069425,-4.1253457,-4.1318254,1416
-1.5041853,1.6946094,2.215004,3.2624886,-3.5039363,-3.5146909,1884
1.6015422,0.36474183,0.05979144,6.0669837,-4.6628494,-5.1587305,379
